,protocol,number of @,number of //,number of /,number of .,number of -,number of random characters,length of url,length of host name,length of query component,number of third level domains,existence of ip,existence of shady TLD,label
104,0,0,0,0,0,0,0,18,0,0,0,0,0,0
105,0,0,0,0,0,0,0,16,0,0,0,0,0,0
106,0,0,0,0,0,0,0,15,0,0,0,0,0,0
107,0,0,0,0,0,0,0,13,0,0,0,0,0,0
108,0,0,0,0,1,0,0,29,21,0,0,0,0,0
109,0,0,0,0,0,0,0,10,0,0,0,0,0,0
110,0,0,0,1,3,0,3,37,17,10,1,0,0,0
111,0,0,0,0,0,0,0,16,0,0,0,0,0,0
112,0,0,0,0,0,0,0,12,0,0,0,0,0,0
113,0,0,0,0,0,0,0,23,0,0,0,0,0,0
114,0,0,0,0,0,0,0,18,0,0,0,0,0,0
115,1,0,0,2,4,0,0,84,47,0,3,0,0,1
116,0,0,0,0,0,0,0,19,0,0,0,0,0,0
117,0,0,0,0,0,0,0,14,0,0,0,0,0,0
118,1,0,0,0,1,0,0,25,18,0,0,0,0,1
119,0,0,0,0,0,0,0,14,0,0,0,0,0,0
120,0,0,0,0,0,0,0,13,0,0,0,0,0,0
121,0,0,0,0,0,0,0,26,0,0,0,0,0,1
122,1,0,0,1,3,0,0,26,18,0,1,0,0,1
123,0,0,0,0,0,0,0,16,0,0,0,0,0,0
124,0,0,0,0,2,0,0,23,15,0,1,0,0,0
125,0,0,0,0,0,0,0,8,0,0,0,0,0,0
126,0,0,0,0,0,0,0,13,0,0,0,0,0,0
127,0,0,0,0,0,0,0,18,0,0,0,0,0,0
128,0,0,0,0,0,0,0,37,0,0,0,0,0,0
129,0,0,0,0,0,0,0,7,0,0,0,0,0,0
130,1,0,0,5,2,0,0,67,20,0,1,0,0,1
131,0,0,0,0,0,0,0,12,0,0,0,0,0,0
132,0,0,0,0,0,0,0,17,0,0,0,0,0,0
133,0,0,0,0,2,0,0,27,19,0,1,0,0,0
134,0,0,0,0,0,0,0,17,0,0,0,0,0,0
135,0,0,0,0,0,0,0,10,0,0,0,0,0,0
136,0,0,0,1,2,0,19,140,14,110,1,0,0,0
137,0,0,0,1,3,0,0,24,15,0,1,0,0,0
138,0,0,0,0,0,0,0,20,0,0,0,0,0,0
139,0,0,0,0,0,0,0,10,0,0,0,0,0,0
140,0,0,0,0,0,0,0,8,0,0,0,0,0,0
141,0,0,0,0,0,0,0,12,0,0,0,0,0,0
142,0,0,0,0,0,0,0,12,0,0,0,0,0,0
143,0,0,0,0,0,0,0,22,0,0,0,0,0,0
